Property_Type,Sub_Type,Square_Feet,Bathrooms,Bedrooms,Stories,Year_Built,Listing_Price,Price_per_SqFt,Property_Age
condos,condo,1268,2,3,1,2002,199900,157.6498423,24
condos,condo,969,2,2,7,1985,119900,123.7358101,41
single_family,,2181,3,3,2,,100000,45.85052728,2026
single_family,,2083,2,3,,1983,309900,148.7758041,43
land,,2050,0,,,,1000,0.487804878,2026
land,,1850,,,,,27500,14.86486486,2026
land,,1600,0,,,,49000,30.625,2026
land,,1700,0,,,,1000,0.588235294,2026
single_family,,1200,1,3,1,,63000,52.5,2026
single_family,,1104,2,2,1,1974,79900,72.37318841,52
land,,500,0,,,,1000,2,2026
land,,800,,,,,35000,43.75,2026
single_family,,1236,2,3,2,,50000,40.45307443,2026
land,,1700,0,,,,1000,0.588235294,2026
land,,1200,0,,,,33500,27.91666667,2026
land,,1104,,,,,28000,25.36231884,2026
land,,500,0,,,,76700,153.4,2026
single_family,,1564,3,3,2,1989,705000,450.7672634,37
single_family,,774,1,2,1,1940,5000,6.45994832,86
land,,1564,0,,,,45000,28.77237852,2026
single_family,,920,1,3,,1953,168000,182.6086957,73
condos,condo,1200,2,3,1,1985,98500,82.08333333,41
single_family,,1482,2,3,1,1968,225000,151.8218623,58
single_family,,1654,5,5,2,2024,829000,501.2091898,2
single_family,,2566,3,4,,1995,344900,134.4115355,31
condos,condo,400,1,,7,1977,55000,137.5,49
single_family,,2297,3,4,2,1936,84000,36.5694384,90
single_family,,1600,2,3,1,1950,62500,39.0625,76
single_family,,1509,2,2,1,1956,85000,56.3286945,70
single_family,,2142,3,4,,1960,99000,46.21848739,66
single_family,,2095,3,4,2,2022,234750,112.052506,4
single_family,,1350,2,3,1,1952,75000,55.55555556,74
single_family,,1285,1,3,,1960,65000,50.58365759,66
condos,condo,678,1,2,1,1980,149500,220.5014749,46
single_family,,1319,2,3,2,2001,270250,204.8900682,25
single_family,,1750,2,4,1,1960,72000,41.14285714,66
condos,condo,969,2,2,7,1985,140000,144.4788442,41
single_family,,1999,3,5,1,1984,154900,77.48874437,42
single_family,,1635,3,3,1,1985,125000,76.45259939,41
single_family,,975,2,2,1,2017,185000,189.7435897,9
single_family,,1636,2,3,1,1972,125000,76.40586797,54
condos,condo,581,1,1,7,1987,120000,206.5404475,39
single_family,,1529,2,4,,2009,130000,85.02289078,17
single_family,,3000,3,5,1,2005,169000,56.33333333,21
single_family,,1065,1,3,1,,219900,206.4788732,2026
single_family,,1600,3,3,2,1956,1,0.000625,70
single_family,,1536,3,3,1,1985,135000,87.890625,41
condos,condo,1500,2,2,,1984,99000,66,42
condos,condo,400,1,,1,1977,59900,149.75,49
single_family,,1600,2,3,,1962,135000,84.375,64
single_family,,2876,2,3,1,1930,81400,28.30319889,96
condos,condo,999,2,2,,1987,340000,340.3403403,39
single_family,,2000,3,4,2,,325000,162.5,2026
single_family,,2293,3,4,2,1984,135000,58.87483646,42
condos,condo,1500,2,2,,,225900,150.6,2026
land,,1564,,,,,8500,5.434782609,2026
single_family,,1992,3,4,,2008,265000,133.0321285,18
single_family,,1630,2,3,1,2013,215000,131.9018405,13
single_family,,1210,2,2,,,242500,200.4132231,2026
land,,1564,0,,,,7999,5.114450128,2026
land,,1564,0,,,,10000,6.393861893,2026
